44
0.0,0.0,400.0,20.0
20.0,0.0,20.0,120.0
300.0,0.0,20.0,100.0
400.0,0.0,5.0,80.0
140.0,0.0,5.0,160.0
480.0,0.0,70.0,20.0
500.0,0.0,60.0,100.0
600.0,0.0,100.0,200.0
20.0,240.0,10.0,120.0
130.0,200.0,40.0,10.0
100.0,190.0,10.0,40.0
100.0,150.0,40.0,10.0
100.0,140.0,10.0,40.0
130.0,100.0,40.0,10.0
100.0,90.0,10.0,40.0
260.0,50.0,80.0,100.0
360.0,110.0,20.0,120.0
420.0,130.0,120.0,60.0
260.0,160.0,60.0,100.0
300.0,220.0,90.0,60.0
360.0,300.0,10.0,100.0
560.0,200.0,120.0,50.0
700.0,200.0,200.0,10.0
550.0,380.0,20.0,150.0
450.0,395.0,5.0,100.0
250.0,360.0,40.0,200.0
420.0,400.0,130.0,70.0
440.0,530.0,50.0,30.0
590.0,400.0,150.0,10.0
590.0,550.0,30.0,100.0
190.0,360.0,100.0,10.0
190.0,460.0,10.0,130.0
300.0,470.0,20.0,20.0
190.0,470.0,80.0,80.0
140.0,550.0,10.0,130.0
220.0,560.0,50.0,50.0
0.0,400.0,130.0,50.0
0.0,530.0,60.0,30.0
0.0,590.0,160.0,10.0
0.0,750.0,50.0,300.0
300.0,740.0,60.0,200.0
500.0,610.0,190.0,50.0
550.0,760.0,40.0,250.0
790.0,100.0,660.0,10.0
